-75.0,110.0,2.1
-75.0,109.85,2.09
-75.0,109.7,2.08
-75.0,109.55,2.07
-75.0,109.4,2.06
-75.0,109.25,2.05
-75.0,109.1,2.04
-75.0,108.95,2.03
-75.0,108.8,2.02
-75.0,108.65,2.01
-75.0,108.5,2.0
-75.0,108.35,1.99
-75.0,108.2,1.98
-75.0,108.05,1.97
-75.0,107.9,1.96
-75.0,107.75,1.95
-75.0,107.6,1.94
-75.0,107.45,1.93
-75.0,107.3,1.92
-75.0,107.15,1.91
-75.0,107.0,1.9
-75.0,106.85,1.89
-75.0,106.7,1.88
-75.0,106.55,1.87
-75.0,106.4,1.86
-75.0,106.25,1.85
-75.0,106.1,1.84
-75.0,105.95,1.83
-75.0,105.8,1.82
-75.0,105.65,1.81
-75.0,105.5,1.8
-75.0,105.35,1.79
-75.0,105.2,1.78
-75.0,105.05,1.77
-75.0,104.9,1.76
-75.0,104.75,1.75
-75.0,104.6,1.74
-75.0,104.45,1.73
-75.0,104.3,1.72
-75.0,104.15,1.71
-75.0,104.0,1.7
-75.0,103.85,1.69
-75.0,103.7,1.68
-75.0,103.55,1.67
-75.0,103.4,1.66
-75.0,103.25,1.65
-75.0,103.1,1.64
-75.0,102.95,1.63
-75.0,102.8,1.62
-75.0,102.65,1.61
-75.0,102.5,1.6
-75.0,102.35,1.59
-75.0,102.2,1.58
-75.0,102.05,1.57
-75.0,101.9,1.56
-75.0,101.75,1.55
-75.0,101.6,1.54
-75.0,101.45,1.53
-75.0,101.3,1.52
-75.0,101.15,1.51
-75.0,101.0,1.5
-75.0,100.85,1.49
-75.0,100.7,1.48
-75.0,100.55,1.47
-75.0,100.4,1.46
-75.0,100.25,1.45
-75.0,100.1,1.44
-75.0,99.95,1.43
-75.0,99.8,1.42
-75.0,99.65,1.41
-75.0,99.5,1.4
-75.0,99.35,1.39
-75.0,99.2,1.38
-75.0,99.05,1.37
-75.0,98.9,1.36
-75.0,98.75,1.35
-75.0,98.6,1.34
-75.0,98.45,1.33
-75.0,98.3,1.32
-75.0,98.15,1.31
-75.0,98.0,1.3
-75.0,97.85,1.29
-75.0,97.7,1.28
-75.0,97.55,1.27
-75.0,97.4,1.26
-75.0,97.25,1.25
-75.0,97.1,1.24
-75.0,96.95,1.23
-75.0,96.8,1.22
-75.0,96.65,1.21
-75.0,96.5,1.2
-75.0,96.35,1.19
-75.0,96.2,1.18
-75.0,96.05,1.17
-75.0,95.9,1.16
-75.0,95.75,1.15
-75.0,95.6,1.14
-75.0,95.45,1.13
-75.0,95.3,1.12
-75.0,95.15,1.11
-75.0,95.0,1.1
-75.0,94.85,1.09
-75.0,94.7,1.08
-75.0,94.55,1.07
-75.0,94.4,1.06
-75.0,94.25,1.05
-75.0,94.1,1.04
-75.0,93.95,1.03
-75.0,93.8,1.02
-75.0,93.65,1.01
-75.0,93.5,1.0
-75.0,93.35,0.99
-75.0,93.2,0.98
-75.0,93.05,0.97
-75.0,92.9,0.96
-75.0,92.75,0.95
-75.0,92.6,0.94
-75.0,92.45,0.93
-75.0,92.3,0.92
-75.0,92.15,0.91
-75.0,92.0,0.9
-75.0,91.85,0.89
-75.0,91.7,0.88
-75.0,91.55,0.87
-75.0,91.4,0.86
-75.0,91.25,0.85
-75.0,91.1,0.84
-75.0,90.95,0.83
-75.0,90.8,0.82
-75.0,90.65,0.81
-75.0,90.5,0.8
-75.0,90.35,0.8
-75.0,90.2,0.8
-75.0,90.05,0.8
-75.0,89.9,0.8
-75.0,89.75,0.8
-75.0,89.6,0.8
-75.0,89.45,0.8
-75.0,89.3,0.8
-75.0,89.15,0.8
-75.0,89.0,0.8
-75.0,88.85,0.8
-75.0,88.7,0.8
-75.0,88.55,0.8
-75.0,88.4,0.8
-75.0,88.25,0.8
-75.0,88.1,0.8
-75.0,87.95,0.8
-75.0,87.8,0.8
-75.0,87.65,0.8
-75.0,87.5,0.8
-75.0,87.35,0.8
-75.0,87.2,0.8
-75.0,87.05,0.8
-75.0,86.9,0.8
-75.0,86.75,0.8
-75.0,86.6,0.8
-75.0,86.45,0.8
-75.0,86.3,0.8
-75.0,86.15,0.8
-75.0,86.0,0.8
-75.0,85.85,0.8
-75.0,85.7,0.8
-75.0,85.55,0.8
-75.0,85.4,0.8
-75.0,85.25,0.8
-75.0,85.1,0.8
-75.0,84.95,0.8
-75.0,84.8,0.8
-75.0,84.65,0.8
-75.0,84.5,0.8
-75.0,84.35,0.8
-75.0,84.2,0.8
-75.0,84.05,0.8
-75.0,83.9,0.8
-75.0,83.75,0.8
-75.0,83.6,0.8
-75.0,83.45,0.8
-75.0,83.3,0.8
-75.0,83.15,0.8
-75.0,83.0,0.8
-75.0,82.85,0.8
-75.0,82.7,0.8
-75.0,82.55,0.8
-75.0,82.4,0.8
-75.0,82.25,0.8
-75.0,82.1,0.8
-75.0,81.95,0.8
-75.0,81.8,0.8
-75.0,81.65,0.8
-75.0,81.5,0.8
-75.0,81.35,0.8
-75.0,81.2,0.8
-75.0,81.05,0.8
-75.0,80.9,0.8
-75.0,80.75,0.8
-75.0,80.6,0.8
-75.0,80.45,0.8
-75.0,80.3,0.8
-75.0,80.15,0.8
-75.0,80.0,0.8
-75.0,79.85,0.8
-75.0,79.7,0.8
-75.0,79.55,0.8
-75.0,79.4,0.8
-75.0,79.25,0.8
-75.0,79.1,0.8
-75.0,78.95,0.8
-75.0,78.8,0.8
-75.0,78.65,0.8
-75.0,78.5,0.8
-75.0,78.35,0.8
-75.0,78.2,0.8
-75.0,78.05,0.8
-75.0,77.9,0.8
